Dog_ID,Dog_Name,Dog_Gender,Dog_Breed,Date_of_Birth,Dog_Age,Training_Start_Date,Last_Training_Date,Training_Hours,Complete_Task,Health_Score,Stress_Level,Task_Completion_Rate,Time_Index,Behavioral_Notes
GS033,Jack3,Female,German Shepherd,2020-06-01,4.4,2020-12-23,2022-03-14,272.5,5,81.53,5.5,0.33,2022-03-14,Jack performed exceptionally well.
LA034,Cooper4,Female,Labrador,2019-09-04,5.1,2019-10-26,2019-12-02,284.59,5,70.81,9.8,0.33,2019-12-02,Cooper executed commands flawlessly.
DO035,Bailey3,Female,Doberman,2022-09-02,2.1,2022-11-28,2023-03-15,196.55,3,91.41,2.3,0.2,2023-03-15,Bailey showed improvement.
HU036,Stella3,Male,Husky,2017-12-16,6.8,2018-03-21,2018-10-08,347.33,6,69.99,8.2,0.4,2018-10-08,Stella showed improvement.
HU037,Bear1,Male,Husky,2021-08-16,3.2,2022-03-15,2024-06-20,222.4,4,87.75,9.8,0.27,2024-06-20,Bear executed commands flawlessly.
BE038,Duke4,Male,Beagle,2018-02-26,6.6,2018-04-09,2020-05-12,356.96,6,65.32,9.4,0.4,2020-05-12,Duke needs to improve attention span.
BM039,Duke5,Male,Belgian Malinois,2018-06-28,6.3,2018-08-16,2023-12-25,325.15,5,71.67,5.1,0.33,2023-12-25,Duke performed exceptionally well.
BE040,Tucker4,Male,Beagle,2020-08-11,4.2,2021-04-02,2023-03-05,248.64,4,74.69,8.0,0.27,2023-03-05,Tucker was highly energetic and responsive.
RO041,Lucy2,Female,Rottweiler,2022-06-20,2.3,2022-09-17,2023-07-11,173.39,3,93.13,3.4,0.2,2023-07-11,Lucy was distracted.
BC042,Daisy2,Female,Border Collie,2019-04-06,5.5,2019-12-15,2023-06-08,325.62,5,68.66,9.1,0.33,2023-06-08,Daisy needs to improve attention span.
BM043,Charlie3,Female,Belgian Malinois,2022-10-05,2.0,2023-07-28,2024-05-28,182.47,3,94.4,7.6,0.2,2024-05-28,Charlie needs to improve attention span.
HU044,Daisy3,Male,Husky,2019-01-28,5.7,2020-01-12,2021-11-14,320.29,5,67.75,9.1,0.33,2021-11-14,Daisy needs more focus.
BM045,Daisy4,Female,Belgian Malinois,2018-04-07,6.5,2018-10-05,2020-04-08,331.42,6,69.15,4.4,0.4,2020-04-08,Daisy executed commands flawlessly.
BC046,Stella4,Female,Border Collie,2018-03-23,6.6,2019-01-27,2019-02-27,339.65,6,64.1,8.1,0.4,2019-02-27,Stella showed good scent tracking skills.
HU047,Lola1,Female,Husky,2017-10-26,7.0,2018-03-14,2024-01-05,361.43,6,69.01,8.2,0.4,2024-01-05,Lola executed commands flawlessly.
GR048,Oliver1,Female,Golden Retriever,2021-09-24,3.0,2022-02-21,2024-02-09,204.92,4,88.07,2.3,0.27,2024-02-09,Oliver showed improvement.
BE049,Sadie3,Male,Beagle,2017-09-02,7.1,2018-05-02,2020-08-05,374.98,6,63.34,4.6,0.4,2020-08-05,Sadie executed commands flawlessly.
LA050,Buddy3,Female,Labrador,2020-04-28,4.5,2020-08-26,2024-08-20,269.47,5,73.0,3.2,0.33,2024-08-20,Buddy was distracted.
DO051,Rocky2,Female,Doberman,2016-10-27,8.0,2017-09-08,2024-06-11,392.69,6,62.55,5.0,0.4,2024-06-11,Rocky needs more focus.
PO052,Bailey4,Female,Poodle,2020-12-29,3.8,2021-09-28,2024-05-06,232.87,4,78.47,6.7,0.27,2024-05-06,Bailey needs more focus.
DO053,Tucker5,Female,Doberman,2017-11-05,6.9,2018-01-13,2021-04-27,348.13,6,63.86,9.0,0.4,2021-04-27,Tucker was distracted.
GS054,Rocky3,Male,German Shepherd,2018-06-26,6.3,2018-10-12,2021-04-05,318.82,5,67.58,5.9,0.33,2021-04-05,Rocky was slightly distracted but performed well overall.
LA055,Bear2,Female,Labrador,2018-05-30,6.4,2019-04-24,2024-09-11,347.82,6,71.57,7.9,0.4,2024-09-11,Bear was slightly distracted but performed well overall.
DO056,Max4,Female,Doberman,2019-06-06,5.3,2020-01-21,2022-06-27,300.28,5,75.85,8.2,0.33,2022-06-27,Max needs to improve attention span.
DO057,Tucker6,Female,Doberman,2017-11-21,6.9,2018-08-26,2019-01-21,354.3,6,67.19,8.2,0.4,2019-01-21,Tucker executed commands flawlessly.
DO058,Rocky4,Male,Doberman,2018-05-12,6.4,2019-04-10,2022-07-08,346.52,6,63.84,4.9,0.4,2022-07-08,Rocky showed great agility and focus.
GS059,Charlie4,Female,German Shepherd,2018-07-12,6.2,2019-01-25,2021-07-09,330.69,6,67.38,8.9,0.4,2021-07-09,Charlie performed exceptionally well.
PO060,Jack4,Male,Poodle,2017-07-03,7.3,2017-08-11,2023-09-28,355.83,6,68.02,3.0,0.4,2023-09-28,Jack was distracted.
LA061,Max5,Male,Labrador,2020-07-17,4.2,2020-08-26,2024-03-20,243.6,4,75.26,7.0,0.27,2024-03-20,Max showed good scent tracking skills.
BE062,Lola2,Female,Beagle,2018-08-23,6.1,2018-12-16,2020-04-28,339.86,6,66.14,3.8,0.4,2020-04-28,Lola showed good scent tracking skills.
LA063,Oliver2,Female,Labrador,2018-05-01,6.4,2018-09-09,2019-08-16,343.68,6,71.31,3.2,0.4,2019-08-16,Oliver performed exceptionally well.
BC064,Buddy4,Male,Border Collie,2018-11-19,5.9,2019-09-17,2022-03-12,327.71,5,66.19,6.8,0.33,2022-03-12,Buddy showed improvement.
PO065,Sadie4,Male,Poodle,2017-12-01,6.9,2018-07-04,2023-09-29,367.04,6,64.85,7.6,0.4,2023-09-29,Sadie performed exceptionally well.
BC066,Bailey5,Female,Border Collie,2017-07-25,7.2,2018-04-04,2021-05-07,362.89,6,61.45,9.4,0.4,2021-05-07,Bailey performed exceptionally well.
DO067,Tucker7,Female,Doberman,2018-07-12,6.2,2019-01-30,2019-06-26,332.27,6,67.25,5.4,0.4,2019-06-26,Tucker was highly energetic and responsive.
BM068,Bella3,Female,Belgian Malinois,2019-09-06,5.1,2020-07-16,2020-09-04,291.92,5,71.41,3.2,0.33,2020-09-04,Bella was slightly distracted but performed well overall.
DO069,Bailey6,Male,Doberman,2017-06-09,7.3,2018-06-04,2024-01-04,371.68,6,60.0,3.6,0.4,2024-01-04,Bailey was slightly distracted but performed well overall.
BE070,Oliver3,Female,Beagle,2017-06-21,7.3,2018-04-30,2024-05-12,367.5,6,68.47,6.0,0.4,2024-05-12,Oliver was highly energetic and responsive.
DO071,Jack5,Female,Doberman,2019-12-17,4.8,2020-05-13,2021-02-14,288.85,5,74.16,7.7,0.33,2021-02-14,Jack executed commands flawlessly.
BE072,Bear3,Female,Beagle,2019-09-05,5.1,2020-08-01,2023-08-10,295.12,5,79.31,8.5,0.33,2023-08-10,Bear performed exceptionally well.
BE073,Luna1,Male,Beagle,2019-05-22,5.4,2019-06-28,2023-07-17,303.87,5,70.74,9.8,0.33,2023-07-17,Luna needs more focus.
BM074,Rocky5,Female,Belgian Malinois,2021-08-17,3.1,2021-09-22,2023-05-27,215.03,4,83.9,2.7,0.27,2023-05-27,Rocky showed improvement.
BM075,Sadie5,Male,Belgian Malinois,2022-01-17,2.7,2022-09-09,2024-02-24,184.21,3,87.79,1.5,0.2,2024-02-24,Sadie executed commands flawlessly.
BC076,Oliver4,Male,Border Collie,2019-12-30,4.8,2020-03-29,2023-06-14,290.58,5,77.06,8.1,0.33,2023-06-14,Oliver needs to improve attention span.
RO077,Lucy3,Female,Rottweiler,2017-10-24,7.0,2018-04-24,2023-03-15,354.72,6,66.21,6.5,0.4,2023-03-15,Lucy was distracted.
BE078,Bear4,Female,Beagle,2021-11-13,2.9,2022-03-03,2022-12-03,195.7,3,81.25,1.0,0.2,2022-12-03,Bear showed great agility and focus.
BC079,Sadie6,Female,Border Collie,2022-05-31,2.4,2022-10-26,2023-09-16,198.28,3,90.03,5.1,0.2,2023-09-16,Sadie needs to improve attention span.
BM080,Stella5,Male,Belgian Malinois,2018-01-04,6.8,2018-04-02,2024-06-09,343.99,6,62.49,3.4,0.4,2024-06-09,Stella executed commands flawlessly.
GR081,Charlie5,Male,Golden Retriever,2019-05-01,5.4,2020-03-30,2024-07-10,315.47,5,77.21,5.0,0.33,2024-07-10,Charlie showed great agility and focus.
BM082,Lucy4,Female,Belgian Malinois,2017-03-02,7.6,2018-01-02,2023-08-16,382.51,6,62.98,9.0,0.4,2023-08-16,Lucy was highly energetic and responsive.
BC083,Jack6,Male,Border Collie,2021-10-02,3.0,2022-02-26,2024-02-16,225.94,4,85.75,9.6,0.27,2024-02-16,Jack performed exceptionally well.
BC084,Charlie6,Male,Border Collie,2017-07-02,7.3,2018-04-23,2023-05-08,390.39,6,60.31,6.3,0.4,2023-05-08,Charlie showed great agility and focus.
GR085,Sadie7,Female,Golden Retriever,2018-03-14,6.6,2018-09-30,2022-06-06,354.31,6,70.58,4.0,0.4,2022-06-06,Sadie showed great agility and focus.
BM086,Lucy5,Male,Belgian Malinois,2017-09-05,7.1,2017-11-19,2021-06-29,356.35,6,60.66,8.0,0.4,2021-06-29,Lucy needs more focus.
LA087,Bailey7,Female,Labrador,2018-02-22,6.6,2018-04-20,2020-06-26,348.24,6,68.23,5.5,0.4,2020-06-26,Bailey showed great agility and focus.
LA088,Bear5,Female,Labrador,2021-04-23,3.5,2021-10-17,2024-05-01,246.48,4,82.35,1.3,0.27,2024-05-01,Bear showed good scent tracking skills.
BE089,Duke6,Female,Beagle,2022-08-16,2.2,2023-06-24,2024-02-17,166.23,3,93.92,9.2,0.2,2024-02-17,Duke showed great agility and focus.
GR090,Rocky6,Female,Golden Retriever,2019-07-04,5.3,2020-04-19,2024-05-02,289.69,5,76.85,9.8,0.33,2024-05-02,Rocky needs to improve attention span.
DO091,Bailey8,Male,Doberman,2018-06-23,6.3,2018-10-28,2024-08-08,346.1,6,64.87,1.6,0.4,2024-08-08,Bailey was slightly distracted but performed well overall.
HU092,Molly4,Female,Husky,2022-10-01,2.0,2023-03-24,2024-02-22,188.5,3,90.8,6.9,0.2,2024-02-22,Molly executed commands flawlessly.
DO093,Bailey9,Female,Doberman,2018-11-28,5.9,2019-06-16,2022-08-19,331.76,6,69.27,9.4,0.4,2022-08-19,Bailey needs to improve attention span.
BE094,Stella6,Female,Beagle,2020-02-28,4.6,2020-10-25,2021-02-21,265.23,5,76.73,9.2,0.33,2021-02-21,Stella was slightly distracted but performed well overall.
PO095,Rocky7,Female,Poodle,2022-05-13,2.4,2022-08-15,2024-02-10,208.61,4,86.32,1.9,0.27,2024-02-10,Rocky showed great agility and focus.
GR096,Molly5,Female,Golden Retriever,2022-08-10,2.2,2022-11-21,2024-02-13,197.34,3,93.7,1.7,0.2,2024-02-13,Molly performed exceptionally well.
HU097,Maggie1,Female,Husky,2021-11-17,2.9,2022-06-03,2024-05-23,223.12,4,84.3,3.8,0.27,2024-05-23,Maggie showed great agility and focus.
RO098,Charlie7,Male,Rottweiler,2020-02-23,4.6,2021-02-10,2022-10-21,292.4,5,79.47,4.9,0.33,2022-10-21,Charlie was distracted.
GR099,Lola3,Male,Golden Retriever,2019-06-03,5.4,2019-07-17,2019-11-18,295.47,5,68.56,4.2,0.33,2019-11-18,Lola was slightly distracted but performed well overall.
GS100,Tucker8,Female,German Shepherd,2020-10-04,4.0,2021-01-29,2022-02-21,233.16,4,83.71,6.6,0.27,2022-02-21,Tucker needs to improve attention span.
DO101,Stella7,Male,Doberman,2020-03-04,4.6,2020-11-25,2024-07-23,262.66,5,74.55,1.1,0.33,2024-07-23,Stella showed great agility and focus.
BM102,Bailey10,Male,Belgian Malinois,2021-12-13,2.8,2022-08-26,2023-09-13,224.51,4,83.99,9.7,0.27,2023-09-13,Bailey performed exceptionally well.
DO103,Oliver5,Male,Doberman,2018-06-19,6.3,2019-03-23,2019-11-26,325.74,5,69.22,6.2,0.33,2019-11-26,Oliver performed exceptionally well.
LA104,Lucy6,Female,Labrador,2022-09-08,2.1,2023-07-24,2024-08-08,189.88,3,94.24,9.2,0.2,2024-08-08,Lucy showed great agility and focus.
BM105,Tucker9,Female,Belgian Malinois,2020-04-27,4.5,2021-04-17,2022-06-10,273.59,5,79.28,7.5,0.33,2022-06-10,Tucker executed commands flawlessly.
GR106,Charlie8,Female,Golden Retriever,2017-11-01,6.9,2017-12-18,2024-07-17,353.34,6,61.81,9.2,0.4,2024-07-17,Charlie was highly energetic and responsive.
PO107,Duke7,Male,Poodle,2021-04-18,3.5,2022-02-18,2024-09-02,250.11,5,82.81,9.2,0.33,2024-09-02,Duke executed commands flawlessly.
BM108,Sadie8,Female,Belgian Malinois,2018-12-24,5.8,2019-03-22,2021-12-05,336.02,6,67.41,9.7,0.4,2021-12-05,Sadie was slightly distracted but performed well overall.
RO109,Luna2,Male,Rottweiler,2018-05-09,6.4,2018-06-15,2021-07-02,341.46,6,67.55,7.1,0.4,2021-07-02,Luna performed exceptionally well.
BC110,Lucy7,Female,Border Collie,2021-07-25,3.2,2021-12-21,2023-05-17,201.0,4,87.84,6.1,0.27,2023-05-17,Lucy showed good scent tracking skills.
BE111,Cooper5,Female,Beagle,2019-05-23,5.4,2020-05-19,2022-10-02,287.17,5,68.45,1.3,0.33,2022-10-02,Cooper showed great agility and focus.
GR112,Buddy5,Male,Golden Retriever,2021-04-04,3.5,2021-11-18,2024-07-04,226.09,4,86.99,7.3,0.27,2024-07-04,Buddy needs more focus.
PO113,Stella8,Male,Poodle,2018-02-15,6.7,2019-02-15,2019-10-05,364.6,6,67.66,9.5,0.4,2019-10-05,Stella performed exceptionally well.
LA114,Luna3,Male,Labrador,2017-10-21,7.0,2018-07-05,2021-03-28,376.72,6,60.99,7.2,0.4,2021-03-28,Luna needs more focus.
HU115,Charlie9,Female,Husky,2019-09-07,5.1,2020-01-12,2020-10-18,309.21,5,77.74,1.8,0.33,2020-10-18,Charlie needs to improve attention span.
BC116,Max6,Male,Border Collie,2019-01-14,5.7,2019-06-17,2020-03-30,325.23,5,68.55,8.5,0.33,2020-03-30,Max needs more focus.
BE117,Stella9,Male,Beagle,2020-03-01,4.6,2020-09-15,2021-08-13,284.05,5,77.96,3.5,0.33,2021-08-13,Stella executed commands flawlessly.
GS118,Bailey11,Female,German Shepherd,2020-10-27,4.0,2021-01-21,2021-04-13,235.27,4,78.58,8.1,0.27,2021-04-13,Bailey showed good scent tracking skills.
HU119,Max7,Male,Husky,2019-10-21,5.0,2019-12-16,2020-09-30,297.17,5,75.26,7.7,0.33,2020-09-30,Max showed great agility and focus.
DO120,Luna4,Male,Doberman,2017-09-16,7.1,2018-06-30,2021-01-22,384.07,6,60.0,8.0,0.4,2021-01-22,Luna needs more focus.
BM121,Lola4,Male,Belgian Malinois,2022-02-04,2.7,2022-11-06,2024-01-21,198.3,3,82.58,7.4,0.2,2024-01-21,Lola showed great agility and focus.
GR122,Cooper6,Female,Golden Retriever,2021-02-11,3.7,2021-04-15,2022-01-28,229.75,4,82.83,5.9,0.27,2022-01-28,Cooper was highly energetic and responsive.
PO123,Maggie2,Female,Poodle,2017-09-09,7.1,2018-06-24,2023-05-21,350.22,6,66.52,8.7,0.4,2023-05-21,Maggie needs more focus.
BE124,Daisy5,Female,Beagle,2020-03-20,4.6,2020-11-16,2022-11-10,285.6,5,75.99,7.6,0.33,2022-11-10,Daisy was highly energetic and responsive.
PO125,Bella4,Female,Poodle,2018-07-31,6.2,2018-11-16,2024-04-10,315.19,5,72.32,1.8,0.33,2024-04-10,Bella was distracted.
HU126,Rocky8,Male,Husky,2019-01-30,5.7,2019-05-02,2021-09-19,307.89,5,73.15,7.8,0.33,2021-09-19,Rocky showed improvement.
BM127,Maggie3,Female,Belgian Malinois,2018-11-01,5.9,2019-01-23,2021-07-12,307.44,5,70.32,8.6,0.33,2021-07-12,Maggie was highly energetic and responsive.
RO128,Luna5,Male,Rottweiler,2019-08-27,5.1,2020-07-15,2021-11-20,303.54,5,77.95,9.8,0.33,2021-11-20,Luna showed good scent tracking skills.
BC129,Bailey12,Male,Border Collie,2019-10-12,5.0,2019-11-25,2020-12-28,278.43,5,77.62,9.3,0.33,2020-12-28,Bailey was highly energetic and responsive.
LA130,Duke8,Male,Labrador,2018-04-14,6.5,2018-06-18,2020-02-19,353.39,6,72.22,1.8,0.4,2020-02-19,Duke needs more focus.
BE131,Lucy8,Female,Beagle,2017-09-09,7.1,2018-04-01,2020-02-04,361.05,6,66.72,8.0,0.4,2020-02-04,Lucy showed good scent tracking skills.
BC132,Cooper7,Male,Border Collie,2021-01-12,3.7,2021-05-02,2021-09-10,245.71,4,79.22,7.0,0.27,2021-09-10,Cooper showed great agility and focus.
BC133,Lola5,Female,Border Collie,2019-09-19,5.1,2020-02-06,2024-05-31,291.74,5,72.95,2.0,0.33,2024-05-31,Lola showed good scent tracking skills.
DO134,Molly6,Female,Doberman,2022-04-08,2.5,2022-08-28,2023-11-05,213.13,4,83.05,2.8,0.27,2023-11-05,Molly needs to improve attention span.
GS135,Jack7,Female,German Shepherd,2019-02-06,5.7,2019-05-08,2019-06-22,313.65,5,70.81,2.2,0.33,2019-06-22,Jack needs more focus.
BE136,Molly7,Female,Beagle,2021-12-20,2.8,2022-08-10,2024-10-07,186.69,3,81.19,9.3,0.2,2024-10-07,Molly was highly energetic and responsive.
BC137,Daisy6,Female,Border Collie,2018-02-04,6.7,2018-08-01,2019-12-15,347.45,6,71.16,2.5,0.4,2019-12-15,Daisy showed good scent tracking skills.
DO138,Luna6,Male,Doberman,2017-11-18,6.9,2018-02-10,2020-12-02,356.18,6,64.5,1.7,0.4,2020-12-02,Luna performed exceptionally well.
HU139,Tucker10,Female,Husky,2020-11-22,3.9,2021-01-30,2024-01-10,251.58,5,80.81,2.7,0.33,2024-01-10,Tucker was highly energetic and responsive.
HU140,Rocky9,Male,Husky,2021-08-16,3.2,2021-11-28,2022-09-16,207.89,4,85.02,7.8,0.27,2022-09-16,Rocky was distracted.
GS141,Sadie9,Female,German Shepherd,2017-09-29,7.0,2018-08-14,2022-04-28,377.07,6,66.27,2.4,0.4,2022-04-28,Sadie was distracted.
DO142,Lola6,Female,Doberman,2019-09-12,5.1,2020-08-09,2021-01-01,285.33,5,70.24,5.2,0.33,2021-01-01,Lola showed improvement.
LA143,Luna7,Female,Labrador,2021-12-01,2.9,2022-11-26,2023-03-28,213.35,4,85.57,5.2,0.27,2023-03-28,Luna needs more focus.
LA144,Lola7,Male,Labrador,2019-03-05,5.6,2020-02-07,2022-11-07,310.05,5,76.58,5.1,0.33,2022-11-07,Lola was highly energetic and responsive.
GR145,Molly8,Male,Golden Retriever,2022-05-04,2.4,2022-10-07,2024-01-28,209.64,4,88.24,6.5,0.27,2024-01-28,Molly was highly energetic and responsive.
HU146,Oliver6,Female,Husky,2018-03-12,6.6,2018-10-01,2019-06-02,359.07,6,68.47,1.6,0.4,2019-06-02,Oliver was distracted.
RO147,Lucy9,Female,Rottweiler,2019-12-14,4.8,2020-11-16,2021-10-19,273.33,5,76.83,2.3,0.33,2021-10-19,Lucy was highly energetic and responsive.
BM148,Lucy10,Male,Belgian Malinois,2021-10-29,2.9,2022-05-05,2023-12-28,203.82,4,88.42,8.3,0.27,2023-12-28,Lucy needs more focus.
GR149,Daisy7,Female,Golden Retriever,2022-07-29,2.2,2023-03-01,2024-02-10,169.71,3,86.14,9.5,0.2,2024-02-10,Daisy showed great agility and focus.
BE150,Tucker11,Male,Beagle,2021-01-15,3.7,2021-03-25,2022-12-20,252.53,5,77.51,7.9,0.33,2022-12-20,Tucker needs more focus.
LA151,Bella5,Male,Labrador,2018-07-21,6.2,2018-11-06,2020-09-30,319.73,5,70.93,6.6,0.33,2020-09-30,Bella executed commands flawlessly.
DO152,Charlie10,Female,Doberman,2018-09-10,6.1,2019-02-08,2024-08-15,326.52,5,67.35,7.7,0.33,2024-08-15,Charlie showed great agility and focus.
BE153,Bailey13,Male,Beagle,2019-04-23,5.5,2020-01-18,2021-03-20,300.96,5,76.97,9.9,0.33,2021-03-20,Bailey showed great agility and focus.
BM154,Lucy11,Female,Belgian Malinois,2020-12-17,3.8,2021-04-28,2022-03-07,257.42,5,76.52,5.3,0.33,2022-03-07,Lucy was highly energetic and responsive.
RO155,Buddy6,Male,Rottweiler,2019-08-01,5.2,2019-10-12,2024-02-20,281.41,5,73.49,5.6,0.33,2024-02-20,Buddy was slightly distracted but performed well overall.
GR156,Tucker12,Female,Golden Retriever,2018-11-10,5.9,2018-12-23,2023-09-17,303.38,5,70.52,3.1,0.33,2023-09-17,Tucker was distracted.
HU157,Tucker13,Male,Husky,2019-03-16,5.6,2019-06-04,2024-03-17,318.59,5,70.35,2.3,0.33,2024-03-17,Tucker showed improvement.
BM158,Sadie10,Male,Belgian Malinois,2017-07-08,7.3,2018-03-24,2018-05-14,389.98,6,60.0,2.9,0.4,2018-05-14,Sadie executed commands flawlessly.
RO159,Maggie4,Female,Rottweiler,2021-07-13,3.2,2022-01-06,2022-10-06,212.05,4,79.48,4.8,0.27,2022-10-06,Maggie showed good scent tracking skills.
DO160,Cooper8,Male,Doberman,2017-03-04,7.6,2018-02-02,2024-03-07,365.66,6,62.15,3.2,0.4,2024-03-07,Cooper executed commands flawlessly.
BM161,Daisy8,Male,Belgian Malinois,2018-10-27,6.0,2019-03-29,2022-07-09,321.66,5,71.64,1.8,0.33,2022-07-09,Daisy was highly energetic and responsive.
GR162,Molly9,Male,Golden Retriever,2018-05-26,6.4,2019-02-20,2019-06-19,345.43,6,72.81,3.3,0.4,2019-06-19,Molly showed improvement.
HU163,Cooper9,Female,Husky,2020-01-28,4.7,2021-01-13,2021-09-12,287.11,5,78.85,4.0,0.33,2021-09-12,Cooper showed improvement.
HU164,Bailey14,Female,Husky,2020-10-24,4.0,2021-07-18,2024-04-23,255.27,5,83.11,1.6,0.33,2024-04-23,Bailey showed great agility and focus.
LA165,Oliver7,Male,Labrador,2022-04-15,2.5,2022-08-25,2022-11-05,186.37,3,85.6,4.6,0.2,2022-11-05,Oliver needs more focus.
DO166,Jack8,Male,Doberman,2020-08-20,4.1,2021-02-12,2023-03-15,268.24,5,74.98,6.9,0.33,2023-03-15,Jack performed exceptionally well.
GR167,Luna8,Female,Golden Retriever,2018-04-17,6.5,2018-12-28,2023-05-29,337.31,6,64.37,7.2,0.4,2023-05-29,Luna was highly energetic and responsive.
